Institution 1,Institution 2,Institution 3,Serial Number,Chinese Title,Pinyin Title,English Title,Alt Title,Year Range,Note,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,神宮監 The Directorate for Imperial Temples,287, 典簿,dian bu,Eunuch Archivist,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,神宮監 The Directorate for Imperial Temples,288, 長隨,chang sui,Personal Eunuch Attendant,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,神宮監 The Directorate for Imperial Temples,289, 奉御,feng yu,Chief Steward,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚膳監 The Directorate for Palace Delicacies,290, 掌印太監 ,zhang yin tai jian,Seal-holding Eunuch Director,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚膳監 The Directorate for Palace Delicacies,291, 提督光祿太監,ti du guang lu tai jian,Eunuch Superintendent of Imperial Entertainments,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚膳監 The Directorate for Palace Delicacies,292, 總理太監,zong li tai jian,Superintendent Eunuch,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚膳監 The Directorate for Palace Delicacies,293, 管理太監,guan li tai jian,Eunuch Manager,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚膳監 The Directorate for Palace Delicacies,294, 僉書太監,qian shu tai jian,Chief Eunuch Notary,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚膳監 The Directorate for Palace Delicacies,295, 掌司,zhang si,Eunuch-in-Charge,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚膳監 The Directorate for Palace Delicacies,296, 寫字,xie zi,Transcribing Eunuch,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚膳監 The Directorate for Palace Delicacies,297, 監工,jian gong,Supervising Eunuch,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚膳監 The Directorate for Palace Delicacies,298, 太監,tai jian,Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚膳監 The Directorate for Palace Delicacies,299, 左少監,zuo shao jian,Senior Vice Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚膳監 The Directorate for Palace Delicacies,300, 右少監,you shao jian,Junior Vice Eunuch Director ,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚膳監 The Directorate for Palace Delicacies,301, 左監丞,zuo jian cheng,Senior Assistant Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚膳監 The Directorate for Palace Delicacies,302, 右監丞,you jian cheng,Junior Assistant Eunuch Director ,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚膳監 The Directorate for Palace Delicacies,303, 典簿,dian bu,Eunuch Archivist,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚膳監 The Directorate for Palace Delicacies,304, 長隨,chang sui,Personal Eunuch Attendant,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚膳監 The Directorate for Palace Delicacies,305, 奉御,feng yu,Chief Steward,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚寶監 The Directorate of Palace Seals,306, 掌印太監,zhang yin tai jian,Seal-holding Eunuch Director,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚寶監 The Directorate of Palace Seals,307, 僉書太監,qian shu tai jian,Chief Eunuch Notary,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚寶監 The Directorate of Palace Seals,308, 掌司,zhang si,Eunuch-in-Charge,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚寶監 The Directorate of Palace Seals,309, 太監,tai jian,Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚寶監 The Directorate of Palace Seals,310, 左少監,zuo shao jian,Senior Vice Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚寶監 The Directorate of Palace Seals,311, 右少監,you shao jian,Junior Vice Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚寶監 The Directorate of Palace Seals,312, 左監丞,zuo jian cheng,Senior Assistant Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚寶監 The Directorate of Palace Seals,313, 右監丞,you jian cheng,Junior Assistant Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚寶監 The Directorate of Palace Seals,314, 典簿,dian bu,Eunuch Archivist,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚寶監 The Directorate of Palace Seals,315, 長隨,chang sui,Personal Eunuch Attendant,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚寶監 The Directorate of Palace Seals,316, 奉御,feng yu,Chief Steward,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,印綬監 The Directorate for Credentials,317, 掌印太監,zhang yin tai jian,Seal-holding Eunuch Director,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,印綬監 The Directorate for Credentials,318, 僉書太監,qian shu tai jian,Chief Eunuch Notary,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,印綬監 The Directorate for Credentials,319, 掌司,zhang si ,Eunuch-in-Charge,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,印綬監 The Directorate for Credentials,320, 太監,tai jian,Eunuch Director,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,印綬監 The Directorate for Credentials,321, 左少監,zuo shao jian,Senior Vice Eunuch Director ,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,印綬監 The Directorate for Credentials,322, 右少監,you shao jian,Junior Vice Eunuch Director ,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,印綬監 The Directorate for Credentials,323, 左監丞,zuo jian cheng,Senior Assistant Eunuch Director ,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,印綬監 The Directorate for Credentials,324, 右監丞,you jian cheng,Junior Assistant Eunuch Director ,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,印綬監 The Directorate for Credentials,325, 典簿,dian bu,Eunuch Archivist,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,印綬監 The Directorate for Credentials,326, 長隨,chang sui,Personal Eunuch Attendant,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,印綬監 The Directorate for Credentials,327, 奉御,feng yu,Chief Steward,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,直殿監 The Directorate for Palace Maintenance,328, 掌印太監,zhang yin tai jian,Seal-holding Eunuch Director,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,直殿監 The Directorate for Palace Maintenance,329, 僉書太監,qian shu tai jian,Chief Eunuch Notary,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,直殿監 The Directorate for Palace Maintenance,330, 掌司,zhang si ,Eunuch-in-Charge,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,直殿監 The Directorate for Palace Maintenance,331, 太監,tai jian,Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,直殿監 The Directorate for Palace Maintenance,332, 左少監,zuo shao jian,Senior Vice Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,直殿監 The Directorate for Palace Maintenance,333, 右少監,you shao jian,Junior Vice Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,直殿監 The Directorate for Palace Maintenance,334, 左監丞,zuo jian cheng,Senior Assistant Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,直殿監 The Directorate for Palace Maintenance,335, 右監丞,you jian cheng,Junior Assistant Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,直殿監 The Directorate for Palace Maintenance,336, 典簿,dian bu,Eunuch Archivist,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,直殿監 The Directorate for Palace Maintenance,337, 長隨,chang sui,Personal Eunuch Attendant,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,直殿監 The Directorate for Palace Maintenance,338, 奉御,feng yu,Chief Steward,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚衣監 The Directorate for Royal Clothing,339, 掌印太監,zhang yin tai jian,Seal-holding Eunuch Director,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚衣監 The Directorate for Royal Clothing,340, 管理太監,guan li tai jian,Eunuch Manager,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚衣監 The Directorate for Royal Clothing,341, 僉書太監,qian shu tai jian,Chief Eunuch Notary,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚衣監 The Directorate for Royal Clothing,342, 掌司,zhang si,Eunuch-in-charge,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚衣監 The Directorate for Royal Clothing,343, 監工,jian gong,Supervising Eunuch ,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚衣監 The Directorate for Royal Clothing,344, 太監,tai jian,Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚衣監 The Directorate for Royal Clothing,345, 左少監,zuo shao jian,Senior Vice Eunuch Director ,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚衣監 The Directorate for Royal Clothing,346, 右少監,you shao jian,Junior Vice Eunuch Director ,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚衣監 The Directorate for Royal Clothing,347, 左監丞,zuo jian cheng,Senior Assistant Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚衣監 The Directorate for Royal Clothing,348, 右監丞,you jian cheng,Junior Assistant Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚衣監 The Directorate for Royal Clothing,349, 典簿,dian bu,Eunuch Archivist,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚衣監 The Directorate for Royal Clothing,350, 長隨,chang sui,Personal Eunuch Attendant,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,尚衣監 The Directorate for Royal Clothing,351, 奉御,feng yu,Chief Steward,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,都知監 The Directorate for Entourage Attendance,352, 掌印太監,zhang yin tai jian,Seal-holding Eunuch Director,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,都知監 The Directorate for Entourage Attendance,353, 僉書太監,qian shu tai jian,Chief Eunuch Notary,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,都知監 The Directorate for Entourage Attendance,354, 掌司,zhang si,Eunuch-in-Charge,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,都知監 The Directorate for Entourage Attendance,355, 長隨,chang sui,Personal Eunuch Attendant,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,都知監 The Directorate for Entourage Attendance,356, 奉御,feng yu,Chief Steward,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,都知監 The Directorate for Entourage Attendance,357, 太監,tai jian,Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,都知監 The Directorate for Entourage Attendance,358, 左少監,zuo shao jian,Senior Vice Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,都知監 The Directorate for Entourage Attendance,359, 右少監,you shao jian,Junior Vice Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,都知監 The Directorate for Entourage Attendance,360, 左監丞,zuo jian cheng,Senior Assistant Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,都知監 The Directorate for Entourage Attendance,361, 右監丞,you jian cheng,Junior Assistant Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,都知監 The Directorate for Entourage Attendance,362, 典簿,dian bu,Eunuch Archivist,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,363, 掌印太監,zhang yin tai jian,Seal-holding Eunuch Director,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,364, 總理太監 ,zong li tai jian,Eunuch Superintendent,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,365, 僉書太監,qian shu tai jian,Chief Eunuch Notary,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,366, 掌道,zhang dao,Eunuch in Charge of Discipline,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,367, 掌司,zhang si,Eunuch-in-Charge,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,368, 寫字,xie zi,Transcribing Eunuch,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,369, 監工,jian gong,Supervising Eunuch,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,370, 僉書（外廠）,wai chang qian shu,Eunuch Notary in the Annex Depot,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,371, 監工（外廠）,wai chang jian gong,Supervising Eunuch in the Annex Depot,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,372, 僉書（北廠）,bei chang qian shu,Eunuch Notary in the Northern Depot,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,373, 監工（北廠）,bei chang jian gong,Supervising Eunuch in the Northern Depot,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,374, 僉書（南廠）,nan chang qian shu,Eunuch Notary in the Southern Depot,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,375, 監工（南廠）,nan chang jian gong,Supervising Eunuch in the Southern Depot,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,376, 僉書（新南廠）,xin nan chang qian shu,Eunuch Notary in the New Southern Depot,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,377, 監工（新南廠）,xin nan chang jian gong,Supervising Eunuch in the New Southern Depot,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,378, 僉書（新西廠）,xin xi chang qian shu,Eunuch Notary in the New Western Depot,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,379, 監工（新西廠）,xin xi chang jian gong,Supervising Eunuch in the New Western Depot,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,380, 司正,si zheng,Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,381, 左司副,zuo si fu,Eunuch Vice Director of the Left,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,惜薪司 The Palace Firewood Service,382, 右司副,you si fu,Eunuch Vice Director of the Right,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,鐘鼓司 The Palace Entertainments Office,383, 掌印太監,zhang yin tai jian,Seal-holding Eunuch Director,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,鐘鼓司 The Palace Entertainments Office,384, 僉書太監,qian shu tai jian,Chief Eunuch Notary,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,鐘鼓司 The Palace Entertainments Office,385, 司房,si fang,Eunuch in Charge of Clerical and Secretarial Work,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,鐘鼓司 The Palace Entertainments Office,386, 學藝官,xue yi guan,Eunuch Trainee,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,鐘鼓司 The Palace Entertainments Office,387, 司正,si zheng,Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,鐘鼓司 The Palace Entertainments Office,388, 左司副,zuo si fu,Eunuch Vice Director of the Left,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,鐘鼓司 The Palace Entertainments Office,389, 右司副,you si fu,Eunuch Vice Director of the Right,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,寶鈔司 The Palace Toilet Paper Office,390, 掌印太監,zhang yin tai jian,Seal-holding Eunuch Director,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,寶鈔司 The Palace Toilet Paper Office,391, 僉書太監,qian shu tai jian,Chief Eunuch Notary,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,寶鈔司 The Palace Toilet Paper Office,392, 管理太監,guan li tai jian,Eunuch Manager,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,寶鈔司 The Palace Toilet Paper Office,393, 監工太監,jian gong tai jian,Eunuch Supervisor,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,寶鈔司 The Palace Toilet Paper Office,394, 司正,si zheng,Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,寶鈔司 The Palace Toilet Paper Office,395, 左司副,zuo si fu,Eunuch Vice Director of the Left,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,寶鈔司 The Palace Toilet Paper Office,396, 右司副,you si fu,Eunuch Vice Director of the Right,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,混堂司 The Palace Bathhouse,397, 掌印太監,zhang yin tai jian,Seal-holding Eunuch Director,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,混堂司 The Palace Bathhouse,398, 僉書太監,qian shu tai jian,Chief Eunuch Notary,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,混堂司 The Palace Bathhouse,399, 監工,jian gong,Supervising Eunuch,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,混堂司 The Palace Bathhouse,400, 司正,si zheng,Eunuch Director,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,混堂司 The Palace Bathhouse,401, 左司副 ,zuo si fu,Eunuch Vice Director of the Left,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,混堂司 The Palace Bathhouse,402, 右司副,you si fu,Eunuch Vice Director of the Right,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,兵仗局 The Palace Armament Bureau,403, 掌印太監,zhang yin tai jian,Seal-holding Eunuch Director,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,兵仗局 The Palace Armament Bureau,404, 提督軍器庫太監,ti du jun qi ku tai jian,Eunuch Superintendent at Arsenal Warehouses,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,兵仗局 The Palace Armament Bureau,405, 管理太監,guan li tai jian,Eunuch Manager,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,兵仗局 The Palace Armament Bureau,406, 僉書太監,qian shu tai jian,Chief Eunuch Notary,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,兵仗局 The Palace Armament Bureau,407, 掌司,zhang si ,Eunuch-in-Charge,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,兵仗局 The Palace Armament Bureau,408, 寫字,xie zi,Transcribing Eunuch,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,兵仗局 The Palace Armament Bureau,409, 監工,jian gong,Supervising Eunuch,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,兵仗局 The Palace Armament Bureau,410, 大使,da shi,Eunuch Commissioner,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,兵仗局 The Palace Armament Bureau,411, 左副使,zuo fu shi,Eunuch Vice Commissioner of the Left,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,兵仗局 The Palace Armament Bureau,412, 右副使,you fu shi,Eunuch Vice Commissioner of the Right,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,銀作局 The Palace Jewelry Service,413, 掌印太監,zhang yin tai jian,Seal-holding Eunuch Director,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,銀作局 The Palace Jewelry Service,414, 管理太監,guan li tai jian,Eunuch Manager,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,銀作局 The Palace Jewelry Service,415, 僉書太監,qian shu tai jian,Chief Eunuch Notary,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,銀作局 The Palace Jewelry Service,416, 寫字,xie zi,Transcribing Eunuch,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,銀作局 The Palace Jewelry Service,417, 監工,jian gong,Supervising Eunuch,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,銀作局 The Palace Jewelry Service,418, 大使,da shi,Eunuch Commissioner,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,銀作局 The Palace Jewelry Service,419, 左副使,zuo fu shi,Eunuch Vice Commissioner of the Left,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,銀作局 The Palace Jewelry Service,420, 右副使,you fu shi,Eunuch Vice Commissioner of the Right,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,浣衣局 The Palace Laundry Service,421, 掌印太監,zhang yin tai jian,Seal-holding Eunuch Director,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,浣衣局 The Palace Laundry Service,422, 僉書太監,qian shu tai jian,Chief Eunuch Notary,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,浣衣局 The Palace Laundry Service,423, 監工,jian gong,Supervising Eunuch,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,浣衣局 The Palace Laundry Service,424, 大使,da shi,Eunuch Commissioner,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,浣衣局 The Palace Laundry Service,425, 左副使,zuo fu shi,Eunuch Vice Commissioner of the Left,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,浣衣局 The Palace Laundry Service,426, 右副使,you fu shi,Eunuch Vice Commissioner of the Right,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,巾帽局 The Palace Caps and Kerchiefs Service,427, 掌印太監,zhang yin tai jian,Seal-holding Eunuch Director,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,巾帽局 The Palace Caps and Kerchiefs Service,428, 管理太監,guan li tai jian,Eunuch Manager,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,巾帽局 The Palace Caps and Kerchiefs Service,429, 僉書太監,qian shu tai jian,Chief Eunuch Notary,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,巾帽局 The Palace Caps and Kerchiefs Service,430, 掌司,zhang si,Eunuch-in-Charge,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,巾帽局 The Palace Caps and Kerchiefs Service,431, 監工,jian gong,Supervising Eunuch,,,,,
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,巾帽局 The Palace Caps and Kerchiefs Service,432, 大使,da shi,Eunuch Commissioner,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,巾帽局 The Palace Caps and Kerchiefs Service,433, 左副使,zuo fu shi,Eunuch Vice Commissioner of the Left,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,巾帽局 The Palace Caps and Kerchiefs Service,434, 右副使,you fu shi,Eunuch Vice Commissioner of the Right,,,,,A post under the early Hongwu reign
皇族宮廷類 Imperial Family and Royal Court,宦官門 Eunuch Offices,巾帽局 The Palace Caps and Kerchiefs Service,435, 局正,ju zheng,Eunuch Director,,,,,A post under the early Hongwu reign
