Institution 1,Institution 2,Institution 3,Serial Number,Chinese Title,Pinyin Title,English Title,Alt Title,Year Range,Note,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,詹事府/院 The Household Administration of the Heir Apparent,36, 少詹事 ,shao zhan shi,Junior Supervisor ,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,詹事府/院 The Household Administration of the Heir Apparent,37, 府丞 ,fu cheng,Assistant Supervisor,alt. 詹事府丞 zhan shi fu cheng,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,詹事府/院 The Household Administration of the Heir Apparent,38, 主簿（主簿廳） ,zhu bu ting zhu bu,Recorder in the Recorder's Office,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,詹事府/院 The Household Administration of the Heir Apparent,39, 錄事（主簿廳） ,zhu bu ting lu shi,Manager of the Recorder's Office,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,詹事府/院 The Household Administration of the Heir Apparent,40, 通事舍人（主簿廳） ,zhu bu ting tong shi she ren,Secretarial Receptionist in the Recorder's Office,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,左春坊 The Left Secretariat of the Heir Apparent,41, 大學士 ,da xue shi,Grand Academician,alt. 春坊大學士 chun fang da xue shi,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,左春坊 The Left Secretariat of the Heir Apparent,42, 左庶子 ,zuo shu zi,Left Mentor,,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,左春坊 The Left Secretariat of the Heir Apparent,43, 左諭德 ,zuo yu de,Left Adviser,alt. 左春坊諭德 zuo chun fang yu de; 春坊諭德 chun fang yu de,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,左春坊 The Left Secretariat of the Heir Apparent,44, 左中允 ,zuo zhong yun,Left Companion,alt. 左春坊中允 zuo chun fang zhong yun; 春坊中允 chun fang zhong yun,,,,
皇族宮廷類 Imperial Family and Royal Court,皇太子與東宮門 Heir Apparent and Eastern Palace,左春坊 The Left Secretariat of the Heir Apparent,45, 左贊善 ,zuo zan shan,Left Admonisher,,,,,
